Monthly;M,NR,HDD,ES
2018-01;317.7
2018-02;347.6
2018-03;328.9
2018-04;180.1
2018-05;85.4
2018-06;14.7
2018-07;0
2018-08;16.7
2018-09;62.3
2018-10;151.3
2018-11;218
2018-12;269.3
