Date,00:00:00,01:00:00,02:00:00,03:00:00,04:00:00,05:00:00,06:00:00,07:00:00,08:00:00,09:00:00,10:00:00,11:00:00,12:00:00,13:00:00,14:00:00,15:00:00,16:00:00,17:00:00,18:00:00,19:00:00,20:00:00,21:00:00,22:00:00,23:00:00
2008-01,0.02193951580491043,0.02251902606631957,0.025438808938345485,0.03330970559998423,0.049275257808989434,0.05870540449252062,0.05588708686728386,0.052253194852027875,0.04825858787603614,0.04527108705909898,0.04247506479890871,0.0415195303403694,0.04186028162679052,0.04233038084282316,0.044478450144665976,0.04666811481794842,0.04909870790622126,0.05149561425718372,0.05287651324355559,0.05091295111647514,0.04546936113927519,0.03343944505924387,0.02395569415178514,0.02056221518923728
2008-02,0.021093168947113473,0.02171810830551893,0.02474736503100259,0.03317075983110113,0.050235904866970264,0.06002539070576824,0.057392783276027946,0.053054410084510714,0.0487745591727325,0.04550021468399685,0.04237491637928925,0.0412513661964179,0.0414809478209548,0.041722775294852486,0.04388015901104319,0.04603237440806035,0.04854131442455296,0.051382532245241044,0.05331741130381712,0.051480721299909764,0.0461263859746074,0.03371863948142697,0.02344714236910659,0.01953064888597755
2008-03,0.020316638144088045,0.021169530003249986,0.024688239703725242,0.03426379085610273,0.05203802854460968,0.06123550823378654,0.05841389783557553,0.05348234331842576,0.04927007786549712,0.04566077615587746,0.04241302367844604,0.04114309289144199,0.0411496647848675,0.04126430490971883,0.04325997763922046,0.045405232699008986,0.04793341149374961,0.0510762871840931,0.05326202131582808,0.05139772641323972,0.04567493566690037,0.03322626634764948,0.022772958749781882,0.019482265565115862
2008-04,0.01926063423582346,0.022692356313160845,0.032932957623777355,0.05447277767486689,0.0648241647232203,0.06191003144195597,0.05528644667167168,0.051409727521680736,0.04678232284993801,0.04297955299431243,0.04108637392432624,0.040489230639813266,0.039931060437360236,0.04139753740490903,0.043538609114773016,0.04583225150925895,0.04964259389986518,0.05325343752030667,0.05216405619730323,0.04705405475478462,0.03453860518176525,0.022131323528787068,0.017796721738627574,0.018593172097711986
2008-05,0.01776505891618458,0.0215144488712846,0.032996570360905794,0.057657778849567715,0.06810887000284452,0.06463902152985215,0.0565682961703778,0.05339672694608938,0.047736141028145204,0.04367961260209428,0.04123988874501819,0.03995039502489078,0.03889910564147024,0.03969139278356711,0.041885247394429274,0.04390396133755018,0.04814671181147005,0.052743877872576915,0.05224215224076486,0.04721708160750823,0.035024953940868624,0.021443078155520677,0.01648502118361721,0.01706460698340164
2008-06,0.015577251984150085,0.019414772737334142,0.032100036321704786,0.060724408371589066,0.07261587959610064,0.06787130105252318,0.057508854441901874,0.05573685413233902,0.049261203518337224,0.04602759158253058,0.04333526258656174,0.04010635257403063,0.038796075943575134,0.03790031494756786,0.040573803932810244,0.042928888576016046,0.04639966097265837,0.051150755337723924,0.05176084846418515,0.046551573574582734,0.034786626902827564,0.02055246616689809,0.013906860507614778,0.014412355774437136
2008-07,0.014206374297495623,0.017812429936152112,0.030742097530996458,0.06101351381317155,0.07454206662882507,0.06936549020238396,0.05763645769196691,0.05633365279352722,0.04992072101038112,0.047447402823023885,0.044906205083214974,0.04037058008924967,0.03906546746184804,0.03717461085242541,0.040190514844123094,0.043176451493967774,0.04582961336746707,0.050213359022707016,0.05143701226092562,0.046121187418973114,0.03417630615957306,0.01984017586584737,0.013942482822274572,0.014535826529479316
2008-08,0.01405157976421791,0.01762850307324291,0.03062495863397238,0.061118979360663316,0.07479764381306611,0.06953664517531448,0.057661449624655255,0.05644484459706929,0.05001372627956419,0.047637469432688775,0.045108884633119364,0.04040557146215709,0.03910088736148966,0.03706621314956109,0.04012628514367437,0.043161327478125226,0.045715375364631175,0.0500697405615629,0.051388593343582506,0.046073945267844446,0.03413845333823245,0.01978558774912083,0.013874127692450671,0.014469207699993606
2008-09,0.015568490053107564,0.019350531692882318,0.031922999001286735,0.060275536233970084,0.07213931144698572,0.06750872972264826,0.057232713978422715,0.05540348978201527,0.049025216935801884,0.04581376204875092,0.04317274491895622,0.0399754134965499,0.03869637866838148,0.03783539907030808,0.040490758477447104,0.04287032283005538,0.0463140774763843,0.050994872840710255,0.05157967077842015,0.04640037018069565,0.03463487303630723,0.020493350371604036,0.01586428652649496,0.016436700431813764
2008-10,0.018032180932660347,0.02122626533670374,0.031315175273587764,0.05347588830419115,0.0654681619995579,0.06430049335404817,0.05705502914820422,0.053805777877529874,0.0482583123751144,0.04434008751867576,0.04164281332017611,0.04010918221117517,0.03920932699073697,0.039601626544468436,0.041781586586206246,0.04374921662712399,0.047533214745267637,0.05190383634772853,0.05215626078095912,0.04777157272544395,0.037181867799254344,0.023841343154822236,0.018027885408481135,0.018212894637882802
2008-11,0.02171136858240945,0.02229781444645063,0.02525609464923239,0.03329130727272307,0.04967147349928727,0.059117653738712105,0.05626080366650977,0.05243014162913176,0.048497466431982224,0.045376275196304904,0.04251394994148698,0.04147824799256298,0.04174257946519075,0.04213177374357687,0.0442076219376878,0.04639362048483775,0.048781838454853,0.05127142271372929,0.052815734002371405,0.05092702963974071,0.045514484419035654,0.0335149403060089,0.023840267708782784,0.020956090077391545
2008-12,0.022948087040316274,0.023530278944224523,0.02619026258106551,0.03319972645831021,0.04813617143371791,0.05717877597246188,0.05420205608370638,0.05140300286379028,0.04799920231408092,0.04536850110177081,0.04291050648495738,0.04204707172313095,0.04246157232220869,0.0430886283355879,0.045055260063201236,0.04722926435766598,0.04942568558084666,0.05128552731597668,0.052097246451698574,0.050064039625126816,0.044672226614558545,0.03324313240979541,0.02463201964724616,0.0216317542745543
